"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_002E","B25004_002M","B25004_003E","B25004_003M","B25004_004E","B25004_004M","B25004_005E","B25004_005M","B25004_006E","B25004_006M","B25004_007E","B25004_007M","B25004_008E","B25004_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!For rent","Margin of Error!!Total:!!For rent","Estimate!!Total:!!Rented, not occupied","Margin of Error!!Total:!!Rented, not occupied","Estimate!!Total:!!For sale only","Margin of Error!!Total:!!For sale only","Estimate!!Total:!!Sold, not occupied","Margin of Error!!Total:!!Sold, not occupied","Estimate!!Total:!!For seasonal, recreational, or occasional use","Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Estimate!!Total:!!For migrant workers","Margin of Error!!Total:!!For migrant workers","Estimate!!Total:!!Other vacant","Margin of Error!!Total:!!Other vacant",
"0400000US01","Alabama","322243","11723","49768","4966","10157","2052","17195","2897","11747","2460","68225","4779","396","334","164755","8421",
"0400000US02","Alaska","55712","3835","6632","1711","820","666","1377","665","1064","703","26906","1824","624","499","18289","2528",
"0400000US04","Arizona","316703","11630","70784","5692","10619","2689","23161","3466","7969","2188","137247","6146","1403","706","65520","5523",
"0400000US05","Arkansas","174275","7627","26352","3421","5546","1872","8833","2066","13485","2333","35037","3534","354","354","84668","4936",
"0400000US06","California","1079379","19306","273029","11402","43951","4316","61202","4374","55424","4999","334566","10287","2710","1042","308497","11183",
"0400000US08","Colorado","182219","8568","40653","4610","7392","1916","14483","3138","4245","1209","75848","4088","1140","929","38458","3955",
"0400000US09","Connecticut","98822","6161","21871","3471","4362","1541","4983","1342","4139","1739","26363","3617","0","225","37104","3905",
"0400000US10","Delaware","64111","3905","8913","1775","920","550","3393","1160","1990","883","36325","2816","0","208","12570","2509",
"0400000US11","District of Columbia","39013","4510","14166","2843","2229","1237","2693","1001","917","571","2533","1177","0","247","16475","2484",
"0400000US12","Florida","1488170","29237","271527","13265","30928","4246","107003","9095","54118","6122","741429","18938","4682","1668","278483","13428",
"0400000US13","Georgia","448064","13658","120750","7873","22113","3978","27988","3382","11712","2122","81443","5484","331","313","183727","7543",
"0400000US15","Hawaii","79673","6282","12095","2189","2325","869","2580","798","3171","1099","36624","4086","659","569","22219","3075",
"0400000US16","Idaho","80871","5823","10780","2496","3005","1281","7213","1883","2510","1130","39257","2698","572","477","17534","2816",
"0400000US17","Illinois","376685","12668","73290","5668","12332","2686","28927","3162","25276","3573","40140","3499","207","204","196513","8885",
"0400000US18","Indiana","250464","12005","45521","4607","14173","2796","17589","2710","12778","2332","39458","3898","19","33","120926","7646",
"0400000US19","Iowa","115049","8163","23431","3893","1758","910","8153","1719","3869","1004","21232","2889","370","388","56236","4958",
"0400000US20","Kansas","105627","6825","23798","3560","3684","1388","5598","1472","4169","1291","12430","1754","57","84","55891","4187",
"0400000US21","Kentucky","185548","8656","26410","3551","3975","1281","11520","2121","11163","2213","29810","3253","531","411","102139","7005",
"0400000US22","Louisiana","289917","8280","52844","4905","7889","1868","16031","2322","9126","1985","37213","3439","1651","871","165163","7167",
"0400000US23","Maine","149478","5106","6209","1417","2005","954","2950","905","1988","736","109834","3823","11","12","26481","2970",
"0400000US24","Maryland","186943","7121","39757","3813","7407","1904","12706","2357","8714","2062","52233","3660","0","228","66126","4433",
"0400000US25","Massachusetts","228049","9137","40159","4649","10155","2604","10379","2155","6599","2002","103553","5675","232","374","56972","5316",
"0400000US26","Michigan","537828","13100","66574","4813","13686","2823","21611","2797","23611","2836","234649","7316","889","526","176808","7596",
"0400000US27","Minnesota","233787","7826","40660","4767","4868","1509","12735","2360","6277","1291","116161","4105","580","316","52506","5122",
"0400000US28","Mississippi","182533","8137","26815","3284","3335","1160","9297","2096","2540","912","25415","3068","109","180","115022","6735",
"0400000US29","Missouri","295283","10513","43676","4750","11387","2451","16393","2484","16371","3581","67645","3425","156","196","139655","7006",
"0400000US30","Montana","70641","3525","7667","1942","1587","932","2594","812","1921","888","37257","2814","395","378","19220","2505",
