"GEO_ID","NAME","B25131_001E","B25131_001M","B25131_002E","B25131_002M","B25131_003E","B25131_003M","B25131_004E","B25131_004M","B25131_005E","B25131_005M","B25131_006E","B25131_006M","B25131_007E","B25131_007M","B25131_008E","B25131_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 1 month","Margin of Error!!Total:!!Less than 1 month","Estimate!!Total:!!1 to 2 months","Margin of Error!!Total:!!1 to 2 months","Estimate!!Total:!!2 to 4 months","Margin of Error!!Total:!!2 to 4 months","Estimate!!Total:!!4 to 6 months","Margin of Error!!Total:!!4 to 6 months","Estimate!!Total:!!6 to 12 months","Margin of Error!!Total:!!6 to 12 months","Estimate!!Total:!!12 to 24 months","Margin of Error!!Total:!!12 to 24 months","Estimate!!Total:!!24 or more months","Margin of Error!!Total:!!24 or more months",
"0400000US01","Alabama","322243","11723","72438","5262","33240","4421","30624","4131","25832","3055","34749","3791","35737","4249","89623","5279",
"0400000US02","Alaska","55712","3835","7299","1563","6618","1475","5882","1241","6310","1131","6156","1090","4256","1247","19191","1724",
"0400000US04","Arizona","316703","11630","72696","5327","59081","5278","57694","5105","40255","4766","35262","3945","16505","2791","35210","3172",
"0400000US05","Arkansas","174275","7627","18639","2854","19726","3400","21500","3328","16527","2975","26366","2948","17882","2709","53635","4315",
"0400000US06","California","1079379","19306","260845","10599","210162","9727","156349","8465","101135","6720","105561","6954","77335","5582","167992","8234",
"0400000US08","Colorado","182219","8568","53909","4818","29115","3214","24530","3615","14592","2487","14787","2876","7435","1936","37851","3965",
"0400000US09","Connecticut","98822","6161","21856","3284","13779","2420","14434","2758","9531","2088","13975","2368","9867","2343","15380","2533",
"0400000US10","Delaware","64111","3905","20594","2467","13331","2268","14604","1742","4387","944","4113","1258","2190","1045","4892","1400",
"0400000US11","District of Columbia","39013","4510","9402","2218","3795","1187","4172","1421","3020","1037","4595","1383","6788","1672","7241","1917",
"0400000US12","Florida","1488170","29237","326637","12393","254194","11636","280522","12249","252284","10338","187665","10206","80444","7166","106424","6403",
"0400000US13","Georgia","448064","13658","84468","6768","67162","4971","60309","5714","38309","3607","47222","5051","42655","3848","107939","6153",
"0400000US15","Hawaii","79673","6282","20602","2816","11365","2557","6871","1948","7254","1638","9070","1832","7644","1940","16867","2714",
"0400000US16","Idaho","80871","5823","15242","2453","14765","2687","12776","2442","7805","1781","6340","1418","3571","937","20372","2159",
"0400000US17","Illinois","376685","12668","49959","4537","44490","4559","49018","4136","40679","5162","46138","4773","44580","4026","101821","6445",
"0400000US18","Indiana","250464","12005","36250","4375","37822","4506","36662","4563","28381","3592","30248","3603","24525","3147","56576","5056",
"0400000US19","Iowa","115049","8163","22550","2894","13256","2313","12729","1858","10474","2113","12272","2050","10693","2103","33075","3893",
"0400000US20","Kansas","105627","6825","15875","2581","12336","2655","12636","2476","8388","1854","9599","1926","12668","2184","34125","3050",
"0400000US21","Kentucky","185548","8656","25389","3317","22068","3381","19143","2737","15744","2657","19200","2806","18921","2859","65083","5972",
"0400000US22","Louisiana","289917","8280","37243","4258","34760","3432","25707","3503","23074","2799","31927","3442","36471","3730","100735","5872",
"0400000US23","Maine","149478","5106","25418","2290","17713","2327","18353","2328","24864","2184","32480","2504","6702","1240","23948","2624",
"0400000US24","Maryland","186943","7121","34350","3517","29033","3275","35196","3482","15627","3054","18157","2320","17437","2543","37143","3650",
"0400000US25","Massachusetts","228049","9137","52111","5108","42098","3789","35468","4944","35037","4228","21789","3347","12965","2407","28581","3714",
"0400000US26","Michigan","537828","13100","84186","5304","56678","4384","66257","4564","60467","4475","58226","3689","40439","3676","171575","6801",
"0400000US27","Minnesota","233787","7826","40325","3838","37147","3132","30554","3110","26149","2398","30352","2521","14568","2519","54692","3001",
"0400000US28","Mississippi","182533","8137","15976","2806","20995","2901","16172","2463","14111","2607","19880","2628","22998","2909","72401","4568",
"0400000US29","Missouri","295283","10513","40463","3846","37600","3877","33978","3651","36196","3741","30005","3453","36001","3758","81040","5171",
"0400000US30","Montana","70641","3525","13289","2121","9247","2162","9233","1731","11909","1905","10924","2137","5326","1367","10713","1621",
"0400000US31","Nebraska","56509","4775","10514","1895","11004","2556","4102","1121","4261","1284","4941","1032","4470","1007","17217","2272",
"0400000US32","Nevada","126968","7220","41270","3571","25248","3922","17402","3088","9307","2046","13392","2290","9217","1885","11132","2014",
"0400000US33","New Hampshire","86509","4744","13547","2051","6830","1424","16014","2260","11065","1731","21077","2601","2779","1106","15197","1639",
"0400000US34","New Jersey","272488","8182","61440","4908","47363","3996","50114","4121","35002","3726","37684","2908","13534","2005","27351","2857",
"0400000US35","New Mexico","116974","6085","22603","3283","11291","2363","11143","2337","8349","1909","12819","2394","11039","1934","39730","3162",
"0400000US36","New York","848837","18526","108266","6494","132499","8461","142675","7478","89674","6029","102001","6147","65105","5187","208617","9138",
"0400000US37","North Carolina","577150","13861","153278","8219","103245","7181","78168","5421","43925","4006","48813","5247","36251","3666","113470","6456",
"0400000US38","North Dakota","31289","3073","4347","1160","3366","1022","2345","741","4930","1424","2850","667","2812","877","10639","1906",
"0400000US39","Ohio","406846","14205","79624","7246","46818","4903","46008","4631","30386","3304","44119","3931","48188","4508","111703","6780",
"0400000US40","Oklahoma","196679","5314","30142","2596","23298","2176","20255","2048","16759","2017","22589","1919","21406","1591","62230","3177",
